model,validation_rmse_log_saleprice,validation_mae_log_saleprice,validation_r2,cv_rmse_mean
Linear Regression,0.13388868254760863,0.09596787157156345,0.8936613085370149,0.12870258133569407
Ridge Regression,0.13503249755323918,0.09638485203449443,0.8918366383608953,0.12834485793222372
